dim,kary,level,vertices,edges,operator_position,algorithm,treewidth,time
1,2,9,87,147,107,meiji-e,8,3.163
1,2,10,97,164,507,meiji-e,8,3.352
1,2,9,83,140,61,meiji-e,8,2.64
1,2,10,150,252,0-698,meiji-e,8,5.112
1,2,10,136,228,0-489,meiji-e,9,8.998
1,2,10,97,164,639,meiji-e,8,3.585
1,2,8,118,198,0-146,meiji-e,8,3.42
1,2,10,138,231,0-944,meiji-e,8,2.571
1,2,10,150,252,0-958,meiji-e,8,4.127
1,2,8,102,171,0-52,meiji-e,9,6.697
1,2,10,97,164,922,meiji-e,8,3.071
1,2,10,146,245,0-917,meiji-e,8,3.946
1,2,5,39,65,24,meiji-e,8,1.141
1,2,10,93,157,669,meiji-e,8,3.091
1,2,10,140,235,0-349,meiji-e,9,11.277
1,2,5,33,54,0,meiji-e,5,0.581
1,2,10,146,245,0-1020,meiji-e,8,3.993
1,2,9,83,140,276,meiji-e,8,2.65
1,2,9,130,218,0-477,meiji-e,8,3.367
1,2,10,134,225,0-252,meiji-e,9,10.863
1,2,8,110,184,0-217,meiji-e,8,2.39
1,2,9,134,225,0-318,meiji-e,8,3.357
1,2,9,134,225,0-275,meiji-e,8,3.628
1,2,10,93,157,981,meiji-e,8,3.259
1,2,10,128,214,0-417,meiji-e,9,5.342
1,2,8,77,130,70,meiji-e,8,2.384
1,2,8,114,191,0-237,meiji-e,8,2.814
1,2,10,97,164,42,meiji-e,8,3.218
1,2,10,108,182,0-6,meiji-e,9,12.252
1,2,10,97,164,606,meiji-e,8,3.33
1,2,10,97,164,791,meiji-e,8,3.929
1,2,10,93,157,372,meiji-e,8,3.118
1,2,9,75,126,112,meiji-e,8,2.322
1,2,9,87,147,254,meiji-e,8,3.08
1,2,10,150,252,0-643,meiji-e,8,4.167
1,2,10,150,252,0-895,meiji-e,8,3.749
1,2,7,102,171,0-75,meiji-e,8,2.541
1,2,10,81,136,96,meiji-e,8,2.1
1,2,9,134,225,0-339,meiji-e,8,3.88
1,2,10,97,164,371,meiji-e,8,3.351
1,2,8,114,191,0-213,meiji-e,8,2.934
1,2,10,150,252,0-631,meiji-e,8,5.124
1,2,10,150,252,0-603,meiji-e,8,4.963
1,2,7,67,113,38,meiji-e,8,2.122
1,2,7,90,150,0-80,meiji-e,8,1.661
1,2,10,124,208,0-73,meiji-e,9,7.727
1,2,10,89,150,376,meiji-e,8,2.675
1,2,10,97,164,102,meiji-e,8,3.819
1,2,8,112,188,0-74,meiji-e,9,10.172
1,2,10,122,204,0-225,meiji-e,9,4.981
1,2,9,87,147,162,meiji-e,8,2.738
1,2,10,93,157,301,meiji-e,8,4.032
1,2,9,87,147,271,meiji-e,8,3.223
1,2,10,97,164,735,meiji-e,8,3.417
1,2,10,146,245,0-724,meiji-e,8,4.294
1,2,9,110,183,0-384,meiji-e,8,1.647
1,2,6,82,137,0-45,meiji-e,8,1.835
1,2,10,144,242,0-427,meiji-e,9,13.029
1,2,10,150,252,0-859,meiji-e,8,4.016
1,2,10,89,150,233,meiji-e,8,2.677
1,2,8,77,130,10,meiji-e,8,2.238
1,2,9,110,184,0-112,meiji-e,9,4.74
1,2,10,89,150,8,meiji-e,8,2.629
1,2,10,89,150,168,meiji-e,8,2.754
1,2,10,150,252,0-559,meiji-e,8,4.497
1,2,10,93,157,780,meiji-e,8,2.882
1,2,10,93,157,716,meiji-e,8,2.962
1,2,9,83,140,213,meiji-e,8,2.71
1,2,10,150,252,0-766,meiji-e,8,4.059
1,2,9,83,140,108,meiji-e,8,2.715
1,2,10,150,252,0-810,meiji-e,8,3.89
1,2,9,87,147,390,meiji-e,8,2.677
1,2,7,84,141,0-15,meiji-e,9,6.521
1,2,7,67,113,103,meiji-e,8,2.333
1,2,9,126,211,0-360,meiji-e,8,2.853
1,2,10,130,217,0-704,meiji-e,8,2.052
1,2,10,97,164,535,meiji-e,8,3.379
1,2,7,67,113,15,meiji-e,8,2.269
1,2,10,97,164,675,meiji-e,8,4.195
1,2,10,97,164,115,meiji-e,8,3.4
1,2,10,136,228,0-329,meiji-e,9,8.217
1,2,8,98,164,0-40,meiji-e,9,5.347
1,2,9,134,225,0-374,meiji-e,8,4.052
1,2,9,83,140,356,meiji-e,8,2.783
1,2,10,150,252,0-571,meiji-e,8,4.476
1,2,10,142,238,0-696,meiji-e,8,3.176
1,2,10,97,164,447,meiji-e,8,3.825
1,2,10,97,164,399,meiji-e,8,4.106
1,2,10,140,235,0-373,meiji-e,9,9.813
1,2,10,85,143,305,meiji-e,8,2.274
1,2,8,77,130,3,meiji-e,8,2.684
1,2,8,106,177,0-144,meiji-e,8,1.805
1,2,7,102,171,0-99,meiji-e,8,2.384
1,2,10,144,242,0-411,meiji-e,9,13.927
1,2,10,93,157,452,meiji-e,8,3.15
1,2,10,97,164,43,meiji-e,8,3.482
1,2,9,118,197,0-353,meiji-e,8,1.754
1,2,9,83,140,501,meiji-e,8,2.688
1,2,10,93,157,844,meiji-e,8,2.992
1,2,9,128,215,0-250,meiji-e,9,10.822
1,2,10,97,164,483,meiji-e,8,3.717
1,2,10,93,157,293,meiji-e,8,2.535
1,2,9,130,218,0-276,meiji-e,8,3.152
1,2,6,57,96,6,meiji-e,8,2.045
1,2,8,57,95,192,meiji-e,8,1.102
1,2,10,150,252,0-923,meiji-e,8,3.846
1,2,8,61,102,161,meiji-e,8,1.715
1,2,10,144,242,0-355,meiji-e,9,13.686
1,2,10,146,245,0-749,meiji-e,8,3.745
1,2,9,134,225,0-367,meiji-e,8,3.738
1,2,10,140,235,0-300,meiji-e,9,12.937
