Filename,NumberOfQubits,CircuitCompileTime(s),TotalRunTime(s)
chem_qasm/N2_1.18/N2_1.18_sto-3g_BK_ref.qasm,16,3.6730,5.2770
chem_qasm/N2_1.18/N2_1.18_sto-3g_JW_0.001_uccsd.qasm,16,4.6770,7.1780
chem_qasm/N2_1.18/N2_1.18_sto-3g_JW_1e-05_uccsd.qasm,16,3.8530,7.1360
chem_qasm/N2_1.18/N2_1.18_sto-3g_JW_1e-07_uccsd.qasm,16,3.6850,6.5380
chem_qasm/N2_1.18/N2_1.18_sto-3g_JW_1e-09_uccsd.qasm,16,3.6380,6.5880
chem_qasm/N2_1.18/N2_1.18_sto-3g_JW_1e-12_uccsd.qasm,16,3.7880,6.6910
chem_qasm/N2_1.18/N2_1.18_sto-3g_JW_ref.qasm,16,3.6700,6.6160
chem_qasm/N2_1.46/N2_1.46_sto-3g_BK_0.001_uccsd.qasm,16,2.4760,4.0400
chem_qasm/N2_1.46/N2_1.46_sto-3g_BK_1e-05_uccsd.qasm,16,3.2460,4.9120
chem_qasm/N2_1.46/N2_1.46_sto-3g_BK_1e-07_uccsd.qasm,16,3.2420,5.0410
chem_qasm/N2_1.46/N2_1.46_sto-3g_BK_1e-09_uccsd.qasm,16,7.1750,10.9280
chem_qasm/N2_1.46/N2_1.46_sto-3g_BK_1e-12_uccsd.qasm,16,7.6100,11.7040
chem_qasm/N2_1.46/N2_1.46_sto-3g_BK_ref.qasm,16,7.2090,11.1230
chem_qasm/N2_1.46/N2_1.46_sto-3g_JW_0.001_uccsd.qasm,16,3.4650,6.4780
chem_qasm/N2_1.46/N2_1.46_sto-3g_JW_1e-05_uccsd.qasm,16,3.6420,6.4910
chem_qasm/N2_1.46/N2_1.46_sto-3g_JW_1e-07_uccsd.qasm,16,3.6450,6.4990
chem_qasm/N2_1.46/N2_1.46_sto-3g_JW_1e-09_uccsd.qasm,16,7.2020,11.5180
chem_qasm/N2_1.46/N2_1.46_sto-3g_JW_1e-12_uccsd.qasm,16,6.5240,11.0690
chem_qasm/N2_1.46/N2_1.46_sto-3g_JW_ref.qasm,16,6.5670,11.0930
chem_qasm/O2-2/O2-2_sto-3g_BK_0.001_uccsd.qasm,16,0.2770,0.8090
chem_qasm/O2-2/O2-2_sto-3g_BK_1e-05_uccsd.qasm,16,0.3070,0.8340
chem_qasm/O2-2/O2-2_sto-3g_BK_1e-07_uccsd.qasm,16,0.2790,0.8160
chem_qasm/O2-2/O2-2_sto-3g_BK_1e-09_uccsd.qasm,16,0.2840,0.8260
chem_qasm/O2-2/O2-2_sto-3g_BK_1e-12_uccsd.qasm,16,0.2770,0.8060
chem_qasm/O2-2/O2-2_sto-3g_BK_ref.qasm,16,0.2840,0.8230
chem_qasm/O2-2/O2-2_sto-3g_JW_0.001_uccsd.qasm,16,0.4400,0.9090
chem_qasm/O2-2/O2-2_sto-3g_JW_1e-05_uccsd.qasm,16,0.4410,0.9010
chem_qasm/O2-2/O2-2_sto-3g_JW_1e-07_uccsd.qasm,16,0.4420,0.9070
chem_qasm/O2-2/O2-2_sto-3g_JW_1e-09_uccsd.qasm,16,0.4500,0.9110
chem_qasm/O2-2/O2-2_sto-3g_JW_1e-12_uccsd.qasm,16,0.4370,0.9000
chem_qasm/O2-2/O2-2_sto-3g_JW_ref.qasm,16,0.4380,0.8940
chem_qasm/N2_3.17/N2_3.17_sto-3g_BK_0.001_uccsd.qasm,16,0.3800,0.4980
chem_qasm/N2_3.17/N2_3.17_sto-3g_BK_1e-05_uccsd.qasm,16,2.3720,4.0350
chem_qasm/N2_3.17/N2_3.17_sto-3g_BK_1e-07_uccsd.qasm,16,2.3390,4.0050
chem_qasm/N2_3.17/N2_3.17_sto-3g_BK_1e-09_uccsd.qasm,16,3.0130,4.8590
chem_qasm/N2_3.17/N2_3.17_sto-3g_BK_1e-12_uccsd.qasm,16,3.0330,4.9070
chem_qasm/N2_3.17/N2_3.17_sto-3g_BK_ref.qasm,16,3.0110,4.8670
chem_qasm/N2_3.17/N2_3.17_sto-3g_JW_0.001_uccsd.qasm,16,2.8040,2.9180
chem_qasm/N2_3.17/N2_3.17_sto-3g_JW_1e-05_uccsd.qasm,16,1.5360,6.5670
chem_qasm/N2_3.17/N2_3.17_sto-3g_JW_1e-07_uccsd.qasm,16,1.5650,6.5580
chem_qasm/N2_3.17/N2_3.17_sto-3g_JW_1e-09_uccsd.qasm,16,3.6940,8.8880
chem_qasm/N2_3.17/N2_3.17_sto-3g_JW_1e-12_uccsd.qasm,16,3.6830,8.9080
chem_qasm/N2_3.17/N2_3.17_sto-3g_JW_ref.qasm,16,3.6940,8.8870
chem_qasm/N2_2.12/N2_2.12_sto-3g_BK_0.001_uccsd.qasm,16,2.3200,3.8040
chem_qasm/N2_2.12/N2_2.12_sto-3g_BK_1e-05_uccsd.qasm,16,2.3980,4.0660
chem_qasm/N2_2.12/N2_2.12_sto-3g_BK_1e-07_uccsd.qasm,16,2.8650,4.7120
chem_qasm/N2_2.12/N2_2.12_sto-3g_BK_1e-09_uccsd.qasm,16,4.1040,6.2880
chem_qasm/N2_2.12/N2_2.12_sto-3g_BK_1e-12_uccsd.qasm,16,3.8000,6.0080
chem_qasm/N2_2.12/N2_2.12_sto-3g_BK_ref.qasm,16,3.8460,6.0220
chem_qasm/N2_2.12/N2_2.12_sto-3g_JW_0.001_uccsd.qasm,16,1.3270,4.3490
chem_qasm/N2_2.12/N2_2.12_sto-3g_JW_1e-05_uccsd.qasm,16,1.5220,6.5380
chem_qasm/N2_2.12/N2_2.12_sto-3g_JW_1e-07_uccsd.qasm,16,2.2530,7.5490
chem_qasm/N2_2.12/N2_2.12_sto-3g_JW_1e-09_uccsd.qasm,16,2.9180,8.3170
chem_qasm/N2_2.12/N2_2.12_sto-3g_JW_1e-12_uccsd.qasm,16,2.9130,8.3000
chem_qasm/N2_2.12/N2_2.12_sto-3g_JW_ref.qasm,16,2.8940,8.2800
chem_qasm/C2+/C2+_sto-3g_BK_0.001_uccsd.qasm,16,2.6230,5.1390
chem_qasm/C2+/C2+_sto-3g_BK_1e-05_uccsd.qasm,16,3.8810,6.8680
chem_qasm/C2+/C2+_sto-3g_BK_1e-07_uccsd.qasm,16,3.8120,6.7950
chem_qasm/C2+/C2+_sto-3g_BK_1e-09_uccsd.qasm,16,3.8250,6.7810
chem_qasm/C2+/C2+_sto-3g_BK_1e-12_uccsd.qasm,16,3.8100,6.7820
chem_qasm/C2+/C2+_sto-3g_BK_ref.qasm,16,3.8240,6.8220
chem_qasm/C2+/C2+_sto-3g_JW_0.001_uccsd.qasm,16,5.0090,9.1140
chem_qasm/C2+/C2+_sto-3g_JW_1e-05_uccsd.qasm,16,5.4110,9.9720
chem_qasm/C2+/C2+_sto-3g_JW_1e-07_uccsd.qasm,16,5.3980,9.9810
chem_qasm/C2+/C2+_sto-3g_JW_1e-09_uccsd.qasm,16,5.4320,9.9330
chem_qasm/C2+/C2+_sto-3g_JW_1e-12_uccsd.qasm,16,5.4210,9.9350
chem_qasm/C2+/C2+_sto-3g_JW_ref.qasm,16,5.4420,10.0390
chem_qasm/C2/C2_sto-3g_BK_0.001_uccsd.qasm,16,3.2920,5.7180
chem_qasm/C2/C2_sto-3g_BK_1e-05_uccsd.qasm,16,15.1690,21.4300
chem_qasm/C2/C2_sto-3g_BK_1e-07_uccsd.qasm,16,13.5140,19.3690
chem_qasm/C2/C2_sto-3g_BK_1e-09_uccsd.qasm,16,13.4860,19.3610
chem_qasm/C2/C2_sto-3g_BK_1e-12_uccsd.qasm,16,13.4690,19.3420
chem_qasm/C2/C2_sto-3g_BK_ref.qasm,16,13.5430,19.4980
chem_qasm/C2/C2_sto-3g_JW_0.001_uccsd.qasm,16,6.3180,10.4910
chem_qasm/C2/C2_sto-3g_JW_1e-05_uccsd.qasm,16,6.3830,14.2270
chem_qasm/C2/C2_sto-3g_JW_1e-07_uccsd.qasm,16,6.4020,14.1170
chem_qasm/C2/C2_sto-3g_JW_1e-09_uccsd.qasm,16,6.4010,14.2270
