Filename,NumberOfQubits,CircuitCompileTime(s),TotalRunTime(s)
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node37-p1.qasm,10,0.0630,0.0850
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node38-p1.qasm,10,0.0430,0.0680
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node39-p1.qasm,10,0.0350,0.0560
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node4-p1.qasm,10,0.0350,0.0560
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node40-p1.qasm,10,0.0400,0.0630
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node41-p1.qasm,10,0.0320,0.0510
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node42-p1.qasm,10,0.0650,0.0930
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node43-p1.qasm,10,0.0330,0.0540
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node44-p1.qasm,10,0.0640,0.0860
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node45-p1.qasm,10,0.0630,0.0840
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node46-p1.qasm,10,0.0360,0.0580
qcitcoin-tn-files/maxcut-circ-bat-1/4regRand10Node47-p1.qasm,10,0.0340,0.0560
